,domain_id,domain_name,domain_url
224,3324,Kendal,https://kendalkab.bps.go.id
225,3325,Batang,https://batangkab.bps.go.id
226,3326,Pekalongan,https://pekalongankab.bps.go.id
227,3327,Pemalang,https://pemalangkab.bps.go.id
228,3328,Tegal,https://tegalkab.bps.go.id
229,3329,Brebes,https://brebeskab.bps.go.id
230,3371,Magelang,https://magelangkota.bps.go.id
231,3372,Surakarta,https://surakartakota.bps.go.id
232,3373,Salatiga,https://salatigakota.bps.go.id
233,3374,Semarang,https://semarangkota.bps.go.id
234,3375,Pekalongan,https://pekalongankota.bps.go.id
235,3376,Tegal,https://tegalkota.bps.go.id
236,3400,Di Yogyakarta,https://yogyakarta.bps.go.id
237,3401,Kulon Progo,https://kulonprogokab.bps.go.id
238,3402,Bantul,https://bantulkab.bps.go.id
239,3403,Gunung Kidul,https://gunungkidulkab.bps.go.id
240,3404,Sleman,https://slemankab.bps.go.id
241,3471,Yogyakarta,https://jogjakota.bps.go.id
242,3500,Jawa Timur,https://jatim.bps.go.id
243,3501,Pacitan,https://pacitankab.bps.go.id
244,3502,Ponorogo,https://ponorogokab.bps.go.id
245,3503,Trenggalek,https://trenggalekkab.bps.go.id
246,3504,Tulungagung,https://tulungagungkab.bps.go.id
247,3505,Blitar,https://blitarkab.bps.go.id
248,3506,Kediri,https://kedirikab.bps.go.id
249,3507,Malang,https://malangkab.bps.go.id
250,3508,Lumajang,https://lumajangkab.bps.go.id
251,3509,Jember,https://jemberkab.bps.go.id
252,3510,Banyuwangi,https://banyuwangikab.bps.go.id
253,3511,Bondowoso,https://bondowosokab.bps.go.id
254,3512,Situbondo,https://situbondokab.bps.go.id
255,3513,Probolinggo,https://probolinggokab.bps.go.id
256,3514,Pasuruan,https://pasuruankab.bps.go.id
257,3515,Sidoarjo,https://sidoarjokab.bps.go.id
258,3516,Mojokerto,https://mojokertokab.bps.go.id
259,3517,Jombang,https://jombangkab.bps.go.id
260,3518,Nganjuk,https://nganjukkab.bps.go.id
261,3519,Madiun,https://madiunkab.bps.go.id
262,3520,Magetan,https://magetankab.bps.go.id
263,3521,Ngawi,https://ngawikab.bps.go.id
264,3522,Bojonegoro,https://bojonegorokab.bps.go.id
265,3523,Tuban,https://tubankab.bps.go.id
266,3524,Lamongan,https://lamongankab.bps.go.id
267,3525,Gresik,https://gresikkab.bps.go.id
268,3526,Bangkalan,https://bangkalankab.bps.go.id
269,3527,Sampang,https://sampangkab.bps.go.id
270,3528,Pamekasan,https://pamekasankab.bps.go.id
271,3529,Sumenep,https://sumenepkab.bps.go.id
272,3571,Kediri,https://kedirikota.bps.go.id
273,3572,Blitar,https://blitarkota.bps.go.id
274,3573,Malang,https://malangkota.bps.go.id
275,3574,Probolinggo,https://probolinggokota.bps.go.id
276,3575,Pasuruan,https://pasuruankota.bps.go.id
277,3576,Mojokerto,https://mojokertokota.bps.go.id
278,3577,Madiun,https://madiunkota.bps.go.id
279,3578,Surabaya,https://surabayakota.bps.go.id
280,3579,Batu,https://batukota.bps.go.id
281,3600,Banten,https://banten.bps.go.id
282,3601,Pandeglang,https://pandeglangkab.bps.go.id
283,3602,Lebak,https://lebakkab.bps.go.id
284,3603,Tangerang,https://tangerangkab.bps.go.id
285,3604,Serang,https://serangkab.bps.go.id
286,3671,Tangerang,https://tangerangkota.bps.go.id
287,3672,Cilegon,https://cilegonkota.bps.go.id
288,3673,Serang,https://serangkota.bps.go.id
289,3674,Tangerang Selatan,https://tangselkota.bps.go.id
290,5100,Bali,https://bali.bps.go.id
291,5101,Jembrana,https://jembranakab.bps.go.id
292,5102,Tabanan,https://tabanankab.bps.go.id
293,5103,Badung,https://badungkab.bps.go.id
294,5104,Gianyar,https://gianyarkab.bps.go.id
295,5105,Klungkung,https://klungkungkab.bps.go.id
296,5106,Bangli,https://banglikab.bps.go.id
297,5107,Karang Asem,https://karangasemkab.bps.go.id
298,5108,Buleleng,https://bulelengkab.bps.go.id
299,5171,Denpasar,https://denpasarkota.bps.go.id
300,5200,Nusa Tenggara Barat,https://ntb.bps.go.id
301,5201,Lombok Barat,https://lombokbaratkab.bps.go.id
302,5202,Lombok Tengah,https://lomboktengahkab.bps.go.id
303,5203,Lombok Timur,https://lomboktimurkab.bps.go.id
304,5204,Sumbawa,https://sumbawakab.bps.go.id
305,5205,Dompu,https://dompukab.bps.go.id
306,5206,Bima,https://bimakab.bps.go.id
307,5207,Sumbawa Barat,https://sumbawabaratkab.bps.go.id
308,5208,Lombok Utara,https://lombokutarakab.bps.go.id
309,5271,Mataram,https://mataramkota.bps.go.id
310,5272,Bima,https://bimakota.bps.go.id
311,5300,Nusa Tenggara Timur,https://ntt.bps.go.id
312,5301,Sumba Barat,https://sumbabaratkab.bps.go.id
313,5302,Sumba Timur,https://sumbatimurkab.bps.go.id
314,5303,Kupang,https://kupangkab.bps.go.id
315,5304,Timor Tengah Selatan,https://timortengahselatankab.bps.go.id
316,5305,Timor Tengah Utara,https://timortengahutarakab.bps.go.id
317,5306,Belu,https://belukab.bps.go.id
318,5307,Alor,https://alorkab.bps.go.id
319,5308,Lembata,https://lembatakab.bps.go.id
320,5309,Flores Timur,https://florestimurkab.bps.go.id
321,5310,Sikka,https://sikkakab.bps.go.id
322,5311,Ende,https://endekab.bps.go.id
323,5312,Ngada,https://ngadakab.bps.go.id
324,5313,Manggarai,https://manggaraikab.bps.go.id
325,5314,Rote Ndao,https://rotendaokab.bps.go.id
326,5315,Manggarai Barat,https://manggaraibaratkab.bps.go.id
327,5316,Sumba Tengah,https://sumbatengahkab.bps.go.id
328,5317,Sumba Barat Daya,https://sumbabaratdayakab.bps.go.id
329,5318,Nagekeo,https://nagekeokab.bps.go.id
330,5319,Manggarai Timur,https://manggaraitimurkab.bps.go.id
331,5320,Sabu Raijua,https://saburaijuakab.bps.go.id
332,5321,Malaka,https://malakakab.bps.go.id
333,5371,Kupang,https://kupangkota.bps.go.id
334,6100,Kalimantan Barat,https://kalbar.bps.go.id
335,6101,Sambas,https://sambaskab.bps.go.id
336,6102,Bengkayang,https://bengkayangkab.bps.go.id
337,6103,Landak,https://landakkab.bps.go.id
338,6104,Mempawah,https://mempawahkab.bps.go.id
339,6105,Sanggau,https://sanggaukab.bps.go.id
340,6106,Ketapang,https://ketapangkab.bps.go.id
341,6107,Sintang,https://sintangkab.bps.go.id
342,6108,Kapuas Hulu,https://kapuashulukab.bps.go.id
343,6109,Sekadau,https://sekadaukab.bps.go.id
344,6110,Melawi,https://melawikab.bps.go.id
345,6111,Kayong Utara,https://kayongutarakab.bps.go.id
346,6112,Kubu Raya,https://kuburayakab.bps.go.id
347,6171,Pontianak,https://pontianakkota.bps.go.id
348,6172,Singkawang,https://singkawangkota.bps.go.id
349,6200,Kalimantan Tengah,https://kalteng.bps.go.id
350,6201,Kotawaringin Barat,https://kobarkab.bps.go.id
351,6202,Kotawaringin Timur,https://kotimkab.bps.go.id
352,6203,Kapuas,https://kapuaskab.bps.go.id
353,6204,Barito Selatan,https://barselkab.bps.go.id
354,6205,Barito Utara,https://barutkab.bps.go.id
355,6206,Sukamara,https://sukamarakab.bps.go.id
356,6207,Lamandau,https://lamandaukab.bps.go.id
357,6208,Seruyan,https://seruyankab.bps.go.id
358,6209,Katingan,https://katingankab.bps.go.id
359,6210,Pulang Pisau,https://pulpiskab.bps.go.id
